bigskybox;0.00;0.00;21.00;90.00;-0.00;0.00
block;0.00;18.00;1.00;90.00;-0.00;0.00
block1;2.00;2.00;5.00;90.00;-0.00;0.00
block2;0.00;4.00;9.00;90.00;-0.00;0.00
block2;0.00;-4.00;9.00;90.00;-0.00;0.00
block2;0.00;0.00;14.00;90.00;-0.00;0.00
block3;4.00;-4.00;9.00;90.00;-0.00;0.00
block3;-4.00;-4.00;9.00;90.00;-0.00;0.00
mask;-3.00;18.00;1.00;180.00;0.00;0.00
mask;-5.00;2.00;1.00;180.00;0.00;270.00
mask;3.00;-4.00;1.00;180.00;0.00;90.00
mask;-4.00;-5.00;8.00;180.00;0.00;0.00
mask;2.00;3.00;8.00;180.00;0.00;180.00
mask;3.00;-1.00;10.00;90.00;0.00;0.00
mask;-1.00;-1.00;15.00;90.00;0.00;0.00
mask;0.00;-1.00;5.00;90.00;0.00;180.00
pillar;-6.00;18.00;1.00;90.00;-0.00;0.00
pillar;-4.00;2.00;1.00;90.00;-0.00;0.00
pillar;-4.00;2.00;3.00;90.00;-0.00;0.00
pillar;-4.00;-4.00;3.00;90.00;-0.00;0.00
pillar;-4.00;-4.00;1.00;90.00;-0.00;0.00
pillar;2.00;-4.00;1.00;90.00;-0.00;0.00
pillar;2.00;-4.00;3.00;90.00;-0.00;0.00
pillar;2.00;2.00;3.00;90.00;-0.00;0.00
pillar;2.00;2.00;1.00;90.00;-0.00;0.00
pillar;2.00;2.00;6.00;90.00;-0.00;0.00
pillar;2.00;2.00;8.00;90.00;-0.00;0.00
pillar;2.00;-4.00;8.00;90.00;-0.00;0.00
pillar;2.00;-4.00;6.00;90.00;-0.00;0.00
pillar;-4.00;-4.00;6.00;90.00;-0.00;0.00
pillar;-4.00;-4.00;8.00;90.00;-0.00;0.00
pillar;-4.00;2.00;8.00;90.00;-0.00;0.00
pillar;-4.00;2.00;6.00;90.00;-0.00;0.00
pillar;-5.00;-4.00;13.00;90.00;-0.00;0.00
pillar;-5.00;-4.00;11.00;90.00;-0.00;0.00
pillar2;-9.00;18.00;1.00;90.00;-0.00;0.00
skybox;0.00;0.00;14.00;90.00;-0.00;0.00
stair;3.00;17.00;1.00;90.00;-0.00;0.00
start_position;8.32;10.52;3.75;0.00;0.00;0.00
teleporter_b;14.15;18.45;1.13;90.00;-0.00;90.00
