box;1.94;-15.04;19.47
box;3.94;4.96;3.47
box;20.94;25.96;6.47
box;-3.00;2.00;5.00
box;7.94;-25.04;33.47
box;-32.06;-39.04;29.47
box;-102.06;35.96;17.47
box;30.94;-13.04;26.47
ground;-26.00;-47.76;0.90
levalh;-26.00;-32.76;4.00
level;-26.00;-32.76;2.00
levela;-26.00;-32.76;6.00
levelb;-26.00;-32.76;3.00
levelc;-26.00;-32.76;1.00
leveld;-26.00;-32.76;1.00
leveldf;-26.00;-32.76;1.00
levelg;-26.00;-32.76;3.00
mask;7.06;14.25;6.87
mask;-1.00;8.34;6.87
mask;2.00;18.17;0.87
mask;-4.00;18.17;0.87
mask;-4.00;22.27;6.87
mask;2.00;22.27;6.87
mask;8.89;14.25;6.87
mask;-55.00;18.00;3.00
mask;51.00;8.00;-1.00
mask;20.00;19.00;6.00
mask;27.00;5.00;6.00
mask;42.00;16.00;1.00
mask;50.00;18.00;6.00
mask;37.00;21.00;3.00
mask;66.00;9.00;2.00
mask;68.00;20.00;9.00
mask;68.00;14.00;9.00
mask;69.00;10.00;7.00
mask;65.00;10.00;7.00
mask;68.00;10.00;15.00
mask;69.00;1.00;12.00
mask;65.00;1.00;12.00
mask;67.00;-1.00;6.00
mask;82.00;5.00;7.00
mask;82.00;9.00;7.00
mask;82.00;9.00;7.00
mask;90.00;9.00;7.00
mask;85.00;13.00;2.00
mask;86.00;17.00;10.00
mask;104.00;9.00;17.00
mask;108.00;9.00;12.00
mask;108.00;6.00;2.00
mask;100.00;12.00;2.00
mask;105.00;9.00;7.00
mask;101.00;4.00;11.00
mask;107.00;13.00;11.00
mask;-41.00;18.00;5.00
mask;-48.00;24.00;1.00
mask;-46.00;24.00;1.00
mask;-46.00;26.00;1.00
mask;-48.00;26.00;1.00
mask;-55.00;26.00;1.00
mask;-55.00;32.00;5.00
mask;-41.00;32.00;3.00
pelare;-1.00;-17.00;15.00
pelare;-1.00;-17.00;11.00
pelare;-1.00;-17.00;17.00
pelare;-1.00;-17.00;13.00
pelare;-1.00;-17.00;9.00
pelare;-1.00;-17.00;7.00
pelare;-1.00;-17.00;1.00
pelare;-1.00;-17.00;3.00
pelare;-1.00;-17.00;5.00
pelare;-1.00;-3.00;5.00
pelare;-1.00;-3.00;3.00
pelare;-1.00;-3.00;1.00
pelare;-1.00;-3.00;7.00
pelare;-1.00;-3.00;9.00
pelare;-1.00;-3.00;13.00
pelare;-1.00;-3.00;11.00
pelare;-1.00;-3.00;15.00
pelare;-1.00;-3.00;17.00
pelare;13.00;-3.00;17.00
pelare;13.00;-3.00;15.00
pelare;13.00;-3.00;11.00
pelare;13.00;-3.00;13.00
pelare;13.00;-3.00;9.00
pelare;13.00;-3.00;7.00
pelare;13.00;-3.00;1.00
pelare;13.00;-3.00;3.00
pelare;13.00;-3.00;5.00
pelare;13.00;-17.00;5.00
pelare;13.00;-17.00;3.00
pelare;13.00;-17.00;1.00
pelare;13.00;-17.00;7.00
pelare;13.00;-17.00;9.00
pelare;13.00;-17.00;13.00
pelare;13.00;-17.00;11.00
pelare;13.00;-17.00;15.00
pelare;13.00;-17.00;17.00
pelare;13.00;-16.00;20.00
pelare;13.00;-2.00;20.00
pelare;-1.00;-2.00;20.00
pelare;-1.00;-16.00;20.00
start_position;4.32;-23.48;5.75
tag;-24.84;12.50;2.27
tag;-46.84;-4.50;4.27
tag;6.16;-11.50;3.27
tag;6.16;-11.50;20.27
