fog_tag;0;-0.22;0.87;17.64;90.00;-0.00;0.00
inside_level15_well_man;0;-8.05;9.07;42.98;90.00;-0.00;35.21
inside_level15_well_grounda_Cube;14;8.00;3.00;11.00;90.00;-0.00;0.00
inside_level15_well_pillar;0;-6.00;18.00;1.00;90.00;-0.00;0.00
start_position;0;7.32;-5.48;42.75;0.00;0.00;0.00
inside_level15_well_bigskybox;0;0.00;0.00;21.00;90.00;-0.00;0.00
inside_level15_well_pillar2;0;-9.00;18.00;1.00;90.00;-0.00;0.00
inside_level15_well_weapon;0;-17.12;7.91;42.77;90.00;-0.00;0.00
inside_level15_well_block;0;0.00;18.00;1.00;90.00;-0.00;0.00
inside_level15_well_block;1;-4.00;-14.00;2.00;90.00;-0.00;0.00
inside_level15_well_block;2;-6.00;-14.00;2.00;90.00;-0.00;0.00
inside_level15_well_block;3;-8.00;-14.00;2.00;90.00;-0.00;0.00
inside_level15_well_block;4;-10.00;-14.00;2.00;90.00;-0.00;0.00
inside_level15_well_block;5;-10.00;-14.00;4.00;90.00;-0.00;0.00
inside_level15_well_block;6;-8.00;-14.00;4.00;90.00;-0.00;0.00
inside_level15_well_block;7;-6.00;-14.00;4.00;90.00;-0.00;0.00
inside_level15_well_block;8;-4.00;-14.00;4.00;90.00;-0.00;0.00
inside_level15_well_block;9;-4.00;-14.00;6.00;90.00;-0.00;0.00
inside_level15_well_block;10;-6.00;-14.00;6.00;90.00;-0.00;0.00
inside_level15_well_block;11;-8.00;-14.00;6.00;90.00;-0.00;0.00
inside_level15_well_block;12;-10.00;-14.00;6.00;90.00;-0.00;0.00
inside_level15_well_block;13;-10.00;-14.00;8.00;90.00;-0.00;0.00
inside_level15_well_block;14;-8.00;-14.00;8.00;90.00;-0.00;0.00
inside_level15_well_block;15;-6.00;-14.00;8.00;90.00;-0.00;0.00
inside_level15_well_block;16;-4.00;-14.00;8.00;90.00;-0.00;0.00
inside_level15_well_stair;0;4.00;18.00;1.00;90.00;-0.00;0.00
inside_level15_well_skybox;0;-2.00;2.00;39.00;90.00;-0.00;0.00
mask;0;-1.82;2.83;1.23;90.00;-0.00;0.00
inside_level15_well_teleporter_b;0;14.15;18.45;1.13;90.00;-0.00;90.00
