box;1.94;-15.04;19.47
box;3.94;4.96;3.47
box;20.94;25.96;6.47
box;-12.06;10.96;35.47
box;-3.00;2.00;5.00
box;7.94;-25.04;33.47
box;30.94;-13.04;26.47
ground;-26.00;-32.76;1.00
mask;7.06;14.25;6.87
mask;-1.00;8.34;6.87
mask;2.00;18.17;0.87
mask;-4.00;18.17;0.87
mask;-4.00;22.27;6.87
mask;2.00;22.27;6.87
mask;8.89;14.25;6.87
mask;-55.00;18.00;2.00
mask;51.00;8.00;-1.00
mask;20.00;19.00;6.00
mask;27.00;5.00;6.00
mask;42.00;16.00;1.00
mask;50.00;18.00;6.00
mask;37.00;21.00;3.00
mask;66.00;9.00;0.00
mask;68.00;20.00;7.00
mask;68.00;14.00;7.00
mask;69.00;10.00;5.00
mask;65.00;10.00;5.00
mask;68.00;10.00;13.00
mask;69.00;1.00;10.00
mask;65.00;1.00;10.00
mask;67.00;-1.00;4.00
mask;82.00;5.00;2.00
mask;82.00;9.00;2.00
mask;82.00;9.00;2.00
mask;90.00;9.00;2.00
mask;85.00;13.00;-3.00
mask;86.00;17.00;5.00
mask;104.00;9.00;14.00
mask;108.00;9.00;9.00
mask;108.00;6.00;-1.00
mask;100.00;12.00;-1.00
mask;105.00;9.00;4.00
mask;101.00;4.00;8.00
mask;107.00;13.00;8.00
mask;-41.00;18.00;4.00
mask;-48.00;24.00;0.00
mask;-46.00;24.00;0.00
mask;-46.00;26.00;0.00
mask;-48.00;26.00;0.00
mask;-55.00;26.00;0.00
mask;-55.00;32.00;4.00
mask;-41.00;32.00;2.00
start_position;6.32;-8.48;26.75
tag;-11.84;7.50;2.27
tag;12.16;-7.50;1.27
tag;3.16;-29.50;6.27
teleporter_a;-9.85;9.45;2.13
teleporter_b;21.15;-12.55;2.13
