inside_level8_3d_space_pillar2;0;-9.00;18.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;0;3.00;18.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;1;8.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;2;10.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;3;12.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;4;14.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;5;-7.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;6;-9.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;7;-11.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;8;-13.00;9.00;1.00;90.00;0.00;180.00
inside_level8_3d_space_stair;9;5.00;14.00;1.00;90.00;-0.00;90.00
inside_level8_3d_space_stair;10;5.00;12.00;1.00;90.00;-0.00;90.00
inside_level8_3d_space_stair;11;-4.00;14.00;1.00;90.00;-0.00;270.00
inside_level8_3d_space_stair;12;-4.00;12.00;1.00;90.00;-0.00;270.00
inside_level8_3d_space_stair;13;14.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;14;12.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;15;10.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;16;8.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;17;-7.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;18;-9.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;19;-11.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;20;-13.00;-8.00;1.00;90.00;-0.00;0.00
inside_level8_3d_space_stair;21;-4.00;-13.00;16.00;-90.00;0.00;90.00
inside_level8_3d_space_stair;22;-4.00;-11.00;16.00;-90.00;0.00;90.00
